,geometry,elevation,line_id
169,POINT Z (140313.105999999 393302.916999999 10.971000000005),10.97,15
170,POINT Z (140312.602000002 393302.956 11.0479999999952),11.05,15
171,POINT Z (140310.690000001 393302.963 12.5800000000017),12.58,15
172,POINT Z (140320.692000002 393302.984999999 12.3429999999935),12.34,15
173,POINT Z (140320.43 393331.098999999 12.3129999999946),12.31,19
174,POINT Z (140314.923999999 393331.192000002 12.2179999999935),12.22,19
175,POINT Z (140313.528000001 393331.215 10.9850000000006),10.99,19
176,POINT Z (140312.886 393331.226 10.9020000000019),10.9,19
177,POINT Z (140312.285999998 393331.236000001 10.9930000000022),10.99,19
178,POINT Z (140310.462000001 393331.267000001 12.5589999999938),12.56,19
179,POINT Z (140304.467999998 393331.368000001 12.525999999998),12.53,19
180,POINT Z (140305.993999999 393342.1875 12.100099999996),12.1,20
181,POINT Z (140308.063299999 393342.249299999 12.1043000000063),12.1,20
182,POINT Z (140310.219799999 393342.313700002 12.1539000000048),12.15,20
183,POINT Z (140311.1459 393342.341299999 11.4845000000059),11.48,20
184,POINT Z (140312.230999999 393342.3737 10.6861000000063),10.69,20
185,POINT Z (140312.8587 393342.3924 10.3558000000048),10.36,20
186,POINT Z (140313.057700001 393342.398400001 10.3150000000023),10.31,20
187,POINT Z (140313.3794 393342.408 10.3739999999962),10.37,20
188,POINT Z (140313.976399999 393342.425799999 10.7007000000012),10.7,20
189,POINT Z (140314.482799999 393342.440900002 11.1414999999979),11.14,20
190,POINT Z (140315.133499999 393342.460299999 11.7090999999928),11.71,20
191,POINT Z (140317.796799999 393342.539799999 11.8522999999986),11.85,20
192,POINT Z (140320.190200001 393342.611299999 11.9380999999994),11.94,20
193,POINT Z (140160.845699999 393380.436099999 12.0071000000025),12.01,22
194,POINT Z (140158.013 393381.011999998 12.5120000000024),12.51,21
195,POINT Z (140158.339400001 393382.200800002 11.934699999998),11.93,22
196,POINT Z (140155.719000001 393382.868999999 12.2799999999988),12.28,21
197,POINT Z (140156.595800001 393383.428300001 11.7927999999956),11.79,22
198,POINT Z (140156.0722 393383.796999998 11.3463999999949),11.35,22
199,POINT Z (140154.559999999 393383.807 10.724000000002),10.72,21
200,POINT Z (140155.506000001 393384.195700001 10.7271999999939),10.73,22
201,POINT Z (140154.043000001 393384.226 10.523000000001),10.52,21
202,POINT Z (140155.1094 393384.4749 10.274900000004),10.27,22
203,POINT Z (140166.125 393384.502 12.5749999999971),12.58,23
204,POINT Z (140153.315000001 393384.815000001 10.8110000000015),10.81,21
205,POINT Z (140154.559 393384.862399999 10.0342999999993),10.03,22
206,POINT Z (140154.060199998 393385.2137 10.1643999999942),10.16,22
207,POINT Z (140153.5187 393385.594900001 10.7284999999974),10.73,22
208,POINT Z (140152.313999999 393385.624000002 11.9799999999959),11.98,21
209,POINT Z (140153.309500001 393385.742199998 10.8908999999985),10.89,22
210,POINT Z (140152.890799999 393386.037 11.406799999997),11.41,22
211,POINT Z (140163.519000001 393386.34 12.5720000000001),12.57,23
212,POINT Z (140150.346999999 393387.217 12.051999999996),12.05,21
213,POINT Z (140161.952 393387.693999998 12.3990000000049),12.4,23
214,POINT Z (140150.493299998 393387.725099999 11.4760999999999),11.48,22
215,POINT Z (140160.522 393388.859999999 12.2609999999986),12.26,23
216,POINT Z (140159.331 393389.745000001 10.8160000000062),10.82,23
217,POINT Z (140147.3301 393389.952199999 11.4700000000012),11.47,22
218,POINT Z (140158.787 393390.284000002 10.6389999999956),10.64,23
219,POINT Z (140158.247000001 393390.765000001 10.9320000000007),10.93,23
220,POINT Z (140157.199999999 393391.642999999 12.0580000000045),12.06,23
221,POINT Z (140155.874000002 393392.896000002 12.148000000001),12.15,23
222,POINT Z (140150.495999999 393397.188999999 12.1269999999931),12.13,23
223,POINT Z (140301.717999998 393402.738000002 12.8669999999984),12.87,24
224,POINT Z (140313.673 393402.852000002 10.9989999999962),11.0,24
225,POINT Z (140313.241999999 393402.855 10.8800000000047),10.88,24
226,POINT Z (140312.666999999 393402.863000002 11.1349999999948),11.14,24
227,POINT Z (140315.824000001 393402.954999998 12.7299999999959),12.73,24
228,POINT Z (140310.728 393403.004000001 12.6570000000065),12.66,24
